pickup_location,destination,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,distance_km,duration_minutes,traffic_level,weather_condition,transport_type,pickup_hour,is_weekend,fare_ngn
Victoria Island,CMS (Marina),6.4281,3.4219,6.4549,3.3886,6.03,16.1,moderate,thunderstorm,brt,14,0,586.0
Oshodi,Lekki,6.5489,3.3286,6.4474,3.5562,33.57,76.8,moderate,sunny,danfo,12,1,2847.0
CMS (Marina),Ikoyi,6.4549,3.3886,6.4541,3.435,6.47,43.7,gridlock,sunny,bolt,9,1,4793.0
CMS (Marina),Murtala Muhammed Airport,6.4549,3.3886,6.5774,3.3212,19.83,54.0,moderate,sunny,brt,5,1,1260.0
CMS (Marina),Murtala Muhammed Airport,6.4549,3.3886,6.5774,3.3212,20.68,49.6,moderate,sunny,danfo,15,1,2349.0
Oshodi,Ojota,6.5489,3.3286,6.582,3.388,9.33,17.8,low,rainy,bolt,7,0,3075.0
Murtala Muhammed Airport,Ojota,6.5774,3.3212,6.582,3.388,9.4,17.2,low,rainy,keke,21,1,1408.0
CMS (Marina),Ajah,6.4549,3.3886,6.4683,3.6015,28.23,97.8,heavy,cloudy,danfo,20,0,3172.0
Victoria Island,Ikoyi,6.4281,3.4219,6.4541,3.435,4.09,8.3,low,cloudy,bolt,19,1,1482.0
Ikeja,Berger,6.6018,3.3515,6.642,3.343,6.14,10.6,low,rainy,brt,17,0,487.0
Victoria Island,Yaba,6.4281,3.4219,6.5158,3.3892,14.54,32.5,moderate,rainy,bolt,15,1,5772.0
Victoria Island,Murtala Muhammed Airport,6.4281,3.4219,6.5774,3.3212,26.06,42.1,low,sunny,brt,8,1,1470.0
Yaba,Ojota,6.5158,3.3892,6.582,3.388,9.99,17.0,low,rainy,taxi,7,0,2876.0
Ojota,CMS (Marina),6.582,3.388,6.4549,3.3886,16.49,96.2,gridlock,sunny,uber,12,1,9428.0
Victoria Island,Ajah,6.4281,3.4219,6.4683,3.6015,26.32,62.2,moderate,thunderstorm,uber,6,0,10150.0
Surulere,Berger,6.4969,3.355,6.642,3.343,21.33,71.3,heavy,rainy,uber,13,0,8391.0
Surulere,Murtala Muhammed Airport,6.4969,3.355,6.5774,3.3212,12.78,22.5,low,sunny,uber,2,0,3392.0
Oshodi,Lekki,6.5489,3.3286,6.4474,3.5562,38.35,70.3,low,cloudy,taxi,19,1,7632.0
Oshodi,Berger,6.5489,3.3286,6.642,3.343,15.13,35.2,moderate,cloudy,bolt,16,1,5469.0
Victoria Island,Ikeja,6.4281,3.4219,6.6018,3.3515,27.36,105.4,heavy,sunny,bolt,6,0,12262.0
Berger,Surulere,6.642,3.343,6.4969,3.355,21.38,38.1,low,thunderstorm,bolt,14,0,5340.0
CMS (Marina),Murtala Muhammed Airport,6.4549,3.3886,6.5774,3.3212,20.39,41.1,low,rainy,taxi,13,1,4731.0
Murtala Muhammed Airport,Berger,6.5774,3.3212,6.642,3.343,9.03,35.1,heavy,sunny,danfo,7,1,1478.0
Ikeja,CMS (Marina),6.6018,3.3515,6.4549,3.3886,22.43,43.6,low,sunny,danfo,15,1,2096.0
Ojota,Oshodi,6.582,3.388,6.5489,3.3286,9.54,30.8,heavy,cloudy,uber,15,1,4778.0
Victoria Island,Berger,6.4281,3.4219,6.642,3.343,31.75,69.6,moderate,sunny,taxi,14,0,7221.0
CMS (Marina),Victoria Island,6.4549,3.3886,6.4281,3.4219,5.64,18.3,heavy,cloudy,keke,21,1,1419.0
Victoria Island,Surulere,6.4281,3.4219,6.4969,3.355,12.94,26.5,low,sunny,brt,18,1,827.0
Yaba,Oshodi,6.5158,3.3892,6.5489,3.3286,9.47,25.3,moderate,cloudy,keke,7,0,1872.0
Ajah,Oshodi,6.4683,3.6015,6.5489,3.3286,37.89,77.6,low,thunderstorm,taxi,15,0,10453.0
Lekki,CMS (Marina),6.4474,3.5562,6.4549,3.3886,25.62,80.5,heavy,cloudy,brt,11,1,2132.0
Oshodi,Maryland,6.5489,3.3286,6.5783,3.3676,7.61,12.3,low,sunny,keke,4,1,1034.0
Ojota,Murtala Muhammed Airport,6.582,3.388,6.5774,3.3212,8.8,34.7,heavy,cloudy,uber,13,0,4187.0
Surulere,Yaba,6.4969,3.355,6.5158,3.3892,4.98,9.3,low,sunny,uber,5,1,1741.0
Ojota,Victoria Island,6.582,3.388,6.4281,3.4219,21.05,84.1,heavy,sunny,uber,19,0,7873.0
Murtala Muhammed Airport,Berger,6.5774,3.3212,6.642,3.343,8.84,23.3,moderate,thunderstorm,brt,7,0,883.0
Ajah,Ikeja,6.4683,3.6015,6.6018,3.3515,40.45,105.2,moderate,cloudy,keke,5,1,6202.0
Ikeja,Surulere,6.6018,3.3515,6.4969,3.355,14.17,36.3,moderate,rainy,uber,14,0,4620.0
Yaba,Ikeja,6.5158,3.3892,6.6018,3.3515,13.81,38.2,moderate,rainy,bolt,1,0,5460.0
Ikeja,Lekki,6.6018,3.3515,6.4474,3.5562,36.9,117.9,heavy,sunny,bolt,11,0,11424.0
Ikoyi,Lekki,6.4541,3.435,6.4474,3.5562,18.52,53.3,moderate,rainy,uber,11,1,6585.0
Berger,Victoria Island,6.642,3.343,6.4281,3.4219,32.83,91.3,moderate,cloudy,taxi,21,0,9319.0
CMS (Marina),Ojota,6.4549,3.3886,6.582,3.388,18.01,60.8,heavy,sunny,uber,14,0,6968.0
Ajah,Ikoyi,6.4683,3.6015,6.4541,3.435,24.02,56.4,moderate,sunny,taxi,22,0,6060.0
Oshodi,Maryland,6.5489,3.3286,6.5783,3.3676,6.3,18.9,heavy,sunny,uber,21,0,3263.0
Yaba,Maryland,6.5158,3.3892,6.5783,3.3676,9.27,25.1,moderate,sunny,danfo,8,0,1072.0
Ojota,Yaba,6.582,3.388,6.5158,3.3892,8.87,17.4,low,rainy,bolt,13,0,2602.0
Lekki,CMS (Marina),6.4474,3.5562,6.4549,3.3886,25.21,142.2,gridlock,rainy,keke,12,0,7503.0
Lekki,Maryland,6.4474,3.5562,6.5783,3.3676,32.77,108.6,heavy,cloudy,brt,4,0,2430.0
CMS (Marina),Maryland,6.4549,3.3886,6.5783,3.3676,18.5,129.8,gridlock,sunny,danfo,23,0,3772.0
Lekki,Ojota,6.4474,3.5562,6.582,3.388,31.8,97.5,heavy,rainy,brt,13,1,2832.0
Berger,Ojota,6.642,3.343,6.582,3.388,11.35,21.3,low,rainy,bolt,8,1,3921.0
Ikeja,Maryland,6.6018,3.3515,6.5783,3.3676,3.72,8.7,moderate,cloudy,danfo,2,0,490.0
Surulere,CMS (Marina),6.4969,3.355,6.4549,3.3886,7.62,17.0,moderate,cloudy,taxi,19,1,2235.0
CMS (Marina),Ajah,6.4549,3.3886,6.4683,3.6015,31.38,114.7,heavy,sunny,keke,19,0,6341.0
Ajah,Ojota,6.4683,3.6015,6.582,3.388,34.72,71.3,low,rainy,brt,9,0,1800.0
Oshodi,Lekki,6.5489,3.3286,6.4474,3.5562,33.04,73.5,moderate,sunny,danfo,12,1,3098.0
Ajah,Lekki,6.4683,3.6015,6.4474,3.5562,7.29,17.5,moderate,sunny,keke,15,1,1635.0
Ikeja,Ojota,6.6018,3.3515,6.582,3.388,5.35,14.5,moderate,rainy,bolt,23,0,2583.0
Ikoyi,Berger,6.4541,3.435,6.642,3.343,33.01,81.4,moderate,rainy,danfo,8,0,4002.0
Yaba,Maryland,6.5158,3.3892,6.5783,3.3676,9.03,15.4,low,rainy,brt,17,0,660.0
Yaba,Victoria Island,6.5158,3.3892,6.4281,3.4219,13.4,51.6,heavy,cloudy,taxi,19,1,5085.0
Ajah,Ikoyi,6.4683,3.6015,6.4541,3.435,24.35,83.7,heavy,cloudy,danfo,0,1,2988.0
Ikeja,Murtala Muhammed Airport,6.6018,3.3515,6.5774,3.3212,4.97,9.3,low,rainy,danfo,1,1,548.0
Ojota,Oshodi,6.582,3.388,6.5489,3.3286,10.41,18.6,low,thunderstorm,brt,15,0,815.0
Ajah,Berger,6.4683,3.6015,6.642,3.343,46.48,92.4,low,sunny,bolt,15,0,10645.0
Oshodi,Maryland,6.5489,3.3286,6.5783,3.3676,7.41,16.6,moderate,rainy,danfo,12,0,875.0
Oshodi,Berger,6.5489,3.3286,6.642,3.343,12.32,22.9,low,rainy,danfo,19,0,1023.0
Surulere,Yaba,6.4969,3.355,6.5158,3.3892,5.33,33.2,gridlock,sunny,danfo,16,0,1330.0
CMS (Marina),Ojota,6.4549,3.3886,6.582,3.388,18.02,68.7,heavy,cloudy,bolt,14,0,6532.0
Yaba,CMS (Marina),6.5158,3.3892,6.4549,3.3886,9.28,51.0,gridlock,sunny,brt,8,0,1362.0
Ajah,Ikeja,6.4683,3.6015,6.6018,3.3515,41.74,129.3,heavy,rainy,brt,19,1,3380.0
CMS (Marina),Murtala Muhammed Airport,6.4549,3.3886,6.5774,3.3212,21.58,78.2,heavy,sunny,bolt,0,0,8965.0
Maryland,Lekki,6.5783,3.3676,6.4474,3.5562,30.48,113.0,heavy,cloudy,uber,13,0,11837.0
CMS (Marina),Ikeja,6.4549,3.3886,6.6018,3.3515,20.57,62.4,heavy,sunny,keke,23,0,3929.0
Victoria Island,Ojota,6.4281,3.4219,6.582,3.388,21.04,67.8,heavy,sunny,danfo,7,0,2770.0
Maryland,Yaba,6.5783,3.3676,6.5158,3.3892,10.13,20.1,low,rainy,taxi,14,0,2494.0
Ajah,Lekki,6.4683,3.6015,6.4474,3.5562,7.02,10.9,low,thunderstorm,taxi,2,1,2357.0
Ikeja,Yaba,6.6018,3.3515,6.5158,3.3892,12.83,44.1,heavy,cloudy,keke,15,0,3294.0
Ikoyi,Yaba,6.4541,3.435,6.5158,3.3892,11.92,23.8,low,cloudy,bolt,8,0,3323.0
Lekki,CMS (Marina),6.4474,3.5562,6.4549,3.3886,26.46,75.9,moderate,cloudy,keke,18,1,4939.0
Ojota,Ikeja,6.582,3.388,6.6018,3.3515,6.44,18.2,moderate,thunderstorm,brt,7,0,750.0
Lekki,Oshodi,6.4474,3.5562,6.5489,3.3286,36.61,82.9,moderate,cloudy,bolt,19,0,8853.0
Lekki,Yaba,6.4474,3.5562,6.5158,3.3892,27.02,96.4,heavy,sunny,keke,13,0,5101.0
Lekki,CMS (Marina),6.4474,3.5562,6.4549,3.3886,22.76,75.3,heavy,sunny,keke,3,1,4335.0
Yaba,Oshodi,6.5158,3.3892,6.5489,3.3286,10.82,25.7,moderate,rainy,brt,8,1,965.0
Murtala Muhammed Airport,Lekki,6.5774,3.3212,6.4474,3.5562,36.3,82.5,moderate,cloudy,taxi,7,1,10744.0
Oshodi,Ojota,6.5489,3.3286,6.582,3.388,10.05,26.1,moderate,cloudy,keke,12,0,1721.0
Victoria Island,Oshodi,6.4281,3.4219,6.5489,3.3286,20.09,47.1,moderate,sunny,uber,6,0,6197.0
Surulere,Maryland,6.4969,3.355,6.5783,3.3676,12.39,43.1,heavy,sunny,uber,6,0,5820.0
Ikeja,Ojota,6.6018,3.3515,6.582,3.388,5.95,21.9,heavy,sunny,bolt,18,1,3470.0
Ojota,Maryland,6.582,3.388,6.5783,3.3676,3.09,17.9,gridlock,thunderstorm,brt,22,0,606.0
Maryland,Surulere,6.5783,3.3676,6.4969,3.355,13.19,33.7,moderate,cloudy,keke,17,0,2405.0
Ikeja,Maryland,6.6018,3.3515,6.5783,3.3676,4.21,15.0,heavy,rainy,uber,9,0,2542.0
Maryland,Oshodi,6.5783,3.3676,6.5489,3.3286,7.3,14.9,low,sunny,brt,14,0,436.0
Oshodi,Maryland,6.5489,3.3286,6.5783,3.3676,6.6,21.5,heavy,sunny,bolt,6,0,3558.0
Ajah,CMS (Marina),6.4683,3.6015,6.4549,3.3886,28.44,53.8,low,sunny,uber,15,0,7489.0
Lekki,Murtala Muhammed Airport,6.4474,3.5562,6.5774,3.3212,41.56,136.8,heavy,sunny,brt,8,1,4098.0
Murtala Muhammed Airport,CMS (Marina),6.5774,3.3212,6.4549,3.3886,20.71,71.6,heavy,thunderstorm,taxi,4,0,9158.0
Surulere,Murtala Muhammed Airport,6.4969,3.355,6.5774,3.3212,13.07,51.8,heavy,cloudy,danfo,8,1,2237.0
Oshodi,Murtala Muhammed Airport,6.5489,3.3286,6.5774,3.3212,4.67,18.2,heavy,sunny,taxi,9,1,2305.0
Ikoyi,Ojota,6.4541,3.435,6.582,3.388,21.88,40.2,low,rainy,taxi,12,0,4855.0
Lekki,CMS (Marina),6.4474,3.5562,6.4549,3.3886,24.94,43.4,low,sunny,uber,13,0,5565.0
Maryland,Surulere,6.5783,3.3676,6.4969,3.355,10.77,26.0,moderate,cloudy,brt,10,1,715.0
Ikeja,Maryland,6.6018,3.3515,6.5783,3.3676,3.68,9.9,moderate,thunderstorm,uber,11,0,2079.0
Yaba,Surulere,6.5158,3.3892,6.4969,3.355,5.1,11.4,moderate,cloudy,bolt,23,0,2264.0
CMS (Marina),Maryland,6.4549,3.3886,6.5783,3.3676,17.46,35.8,low,rainy,uber,23,0,5786.0
Victoria Island,Berger,6.4281,3.4219,6.642,3.343,35.34,134.4,heavy,cloudy,taxi,9,0,10924.0
Murtala Muhammed Airport,Yaba,6.5774,3.3212,6.5158,3.3892,12.02,38.4,heavy,cloudy,brt,6,0,1244.0
Ikeja,Yaba,6.6018,3.3515,6.5158,3.3892,13.86,80.0,gridlock,rainy,brt,16,1,2223.0
Surulere,Victoria Island,6.4969,3.355,6.4281,3.4219,12.31,29.2,moderate,cloudy,taxi,15,1,3885.0
Yaba,Ojota,6.5158,3.3892,6.582,3.388,8.82,29.4,heavy,rainy,uber,17,0,4920.0
Surulere,Ikeja,6.4969,3.355,6.6018,3.3515,14.94,38.7,moderate,sunny,taxi,18,1,4624.0
Oshodi,Lekki,6.5489,3.3286,6.4474,3.5562,33.01,77.4,moderate,thunderstorm,bolt,10,0,9804.0
Ikoyi,Oshodi,6.4541,3.435,6.5489,3.3286,20.44,52.8,moderate,cloudy,taxi,8,0,6449.0
CMS (Marina),Yaba,6.4549,3.3886,6.5158,3.3892,8.39,31.7,heavy,sunny,bolt,7,0,4296.0
Maryland,Murtala Muhammed Airport,6.5783,3.3676,6.5774,3.3212,6.47,18.4,moderate,cloudy,bolt,14,0,2372.0
Lekki,Maryland,6.4474,3.5562,6.5783,3.3676,33.97,54.6,low,sunny,bolt,9,1,7318.0
Ojota,Ajah,6.582,3.388,6.4683,3.6015,32.26,61.9,low,rainy,taxi,15,0,7821.0
Ikeja,Ajah,6.6018,3.3515,6.4683,3.6015,36.27,90.5,moderate,rainy,danfo,22,0,3476.0
Maryland,Murtala Muhammed Airport,6.5783,3.3676,6.5774,3.3212,6.71,12.9,low,cloudy,brt,19,1,430.0
Ajah,Lekki,6.4683,3.6015,6.4474,3.5562,7.4,19.0,moderate,cloudy,keke,16,0,1466.0
Oshodi,Lekki,6.5489,3.3286,6.4474,3.5562,39.32,105.6,moderate,thunderstorm,danfo,18,1,5212.0
Victoria Island,Ajah,6.4281,3.4219,6.4683,3.6015,25.86,68.4,moderate,cloudy,uber,8,0,9180.0
Ikoyi,Victoria Island,6.4541,3.435,6.4281,3.4219,4.62,7.4,low,rainy,uber,13,1,1827.0
Maryland,Berger,6.5783,3.3676,6.642,3.343,10.49,29.1,moderate,sunny,brt,19,0,748.0
CMS (Marina),Lekki,6.4549,3.3886,6.4474,3.5562,23.61,85.4,heavy,cloudy,taxi,6,0,9100.0
Ikeja,Murtala Muhammed Airport,6.6018,3.3515,6.5774,3.3212,6.09,12.4,low,rainy,danfo,9,0,604.0
Ikeja,Maryland,6.6018,3.3515,6.5783,3.3676,4.44,12.2,moderate,sunny,uber,1,0,1987.0
Berger,CMS (Marina),6.642,3.343,6.4549,3.3886,24.75,67.5,moderate,sunny,uber,4,0,8075.0
Berger,Lekki,6.642,3.343,6.4474,3.5562,37.46,68.0,low,cloudy,taxi,0,1,8073.0
Oshodi,CMS (Marina),6.5489,3.3286,6.4549,3.3886,17.1,37.4,moderate,cloudy,danfo,22,1,1566.0
Murtala Muhammed Airport,Surulere,6.5774,3.3212,6.4969,3.355,13.92,25.3,low,cloudy,keke,10,0,1764.0
Victoria Island,Oshodi,6.4281,3.4219,6.5489,3.3286,20.66,127.0,gridlock,sunny,bolt,13,1,11832.0
Victoria Island,Lekki,6.4281,3.4219,6.4474,3.5562,19.1,33.4,low,sunny,taxi,14,0,3669.0
Murtala Muhammed Airport,CMS (Marina),6.5774,3.3212,6.4549,3.3886,20.62,33.2,low,cloudy,keke,14,0,2394.0
Ikeja,Maryland,6.6018,3.3515,6.5783,3.3676,3.64,7.1,low,rainy,taxi,17,0,1435.0
Murtala Muhammed Airport,Ikeja,6.5774,3.3212,6.6018,3.3515,4.96,15.5,heavy,sunny,bolt,15,1,3037.0
Ojota,Murtala Muhammed Airport,6.582,3.388,6.5774,3.3212,9.21,18.2,low,thunderstorm,danfo,16,0,1133.0
Surulere,Lekki,6.4969,3.355,6.4474,3.5562,31.33,55.8,low,sunny,taxi,14,0,5400.0
Ikeja,Lekki,6.6018,3.3515,6.4474,3.5562,37.88,73.6,low,rainy,taxi,10,0,8071.0
Ajah,Ikeja,6.4683,3.6015,6.6018,3.3515,41.4,162.1,heavy,rainy,uber,21,1,19490.0
Victoria Island,Yaba,6.4281,3.4219,6.5158,3.3892,12.3,24.1,low,rainy,keke,7,0,2134.0
Ajah,CMS (Marina),6.4683,3.6015,6.4549,3.3886,27.36,86.4,heavy,thunderstorm,bolt,15,0,12895.0
Ajah,Lekki,6.4683,3.6015,6.4474,3.5562,7.4,17.8,moderate,cloudy,taxi,18,1,2635.0
Yaba,Lekki,6.5158,3.3892,6.4474,3.5562,26.85,65.2,moderate,sunny,bolt,7,1,8501.0
Maryland,Victoria Island,6.5783,3.3676,6.4281,3.4219,23.06,72.7,heavy,thunderstorm,taxi,6,0,10058.0
CMS (Marina),Berger,6.4549,3.3886,6.642,3.343,25.45,45.2,low,cloudy,bolt,18,1,6764.0
Yaba,CMS (Marina),6.5158,3.3892,6.4549,3.3886,8.82,20.3,moderate,cloudy,keke,2,0,1392.0
Oshodi,Ojota,6.5489,3.3286,6.582,3.388,10.72,29.6,moderate,sunny,keke,6,0,2011.0
CMS (Marina),Oshodi,6.4549,3.3886,6.5489,3.3286,16.49,107.2,gridlock,sunny,keke,3,1,5532.0
Victoria Island,Ikeja,6.4281,3.4219,6.6018,3.3515,30.09,116.3,heavy,cloudy,uber,23,1,14371.0
Oshodi,Lekki,6.5489,3.3286,6.4474,3.5562,39.21,88.0,moderate,rainy,uber,15,1,13779.0
Lekki,Yaba,6.4474,3.5562,6.5158,3.3892,25.74,58.8,moderate,cloudy,danfo,19,0,2169.0
CMS (Marina),Yaba,6.4549,3.3886,6.5158,3.3892,9.43,25.5,moderate,sunny,keke,13,0,1632.0
CMS (Marina),Ojota,6.4549,3.3886,6.582,3.388,19.52,117.4,gridlock,cloudy,uber,8,0,13830.0
Oshodi,Murtala Muhammed Airport,6.5489,3.3286,6.5774,3.3212,3.92,13.4,heavy,sunny,taxi,16,0,2254.0
Surulere,Maryland,6.4969,3.355,6.5783,3.3676,13.25,94.9,gridlock,sunny,bolt,8,0,9356.0
Ikoyi,CMS (Marina),6.4541,3.435,6.4549,3.3886,6.69,42.4,gridlock,rainy,bolt,22,1,6038.0
Berger,Ajah,6.642,3.343,6.4683,3.6015,42.78,83.3,low,sunny,danfo,7,1,3538.0
Surulere,CMS (Marina),6.4969,3.355,6.4549,3.3886,8.31,30.0,heavy,sunny,keke,19,1,2006.0
Ikeja,Lekki,6.6018,3.3515,6.4474,3.5562,40.12,272.4,gridlock,sunny,taxi,4,1,22898.0
Ajah,Surulere,6.4683,3.6015,6.4969,3.355,36.55,93.3,moderate,sunny,bolt,19,0,9387.0
Ikeja,Ikoyi,6.6018,3.3515,6.4541,3.435,22.8,49.6,moderate,cloudy,brt,19,1,1486.0
Yaba,Ikeja,6.5158,3.3892,6.6018,3.3515,14.72,27.3,low,cloudy,uber,18,0,4274.0
Lekki,CMS (Marina),6.4474,3.5562,6.4549,3.3886,22.55,36.4,low,cloudy,taxi,0,0,4941.0
Yaba,Victoria Island,6.5158,3.3892,6.4281,3.4219,13.97,26.1,low,sunny,danfo,6,1,1334.0
Victoria Island,Ikoyi,6.4281,3.4219,6.4541,3.435,4.43,14.4,heavy,sunny,danfo,16,0,838.0
Maryland,Victoria Island,6.5783,3.3676,6.4281,3.4219,25.69,52.4,low,rainy,uber,11,0,6182.0
CMS (Marina),Ikoyi,6.4549,3.3886,6.4541,3.435,6.93,22.7,heavy,rainy,uber,6,1,4510.0
Maryland,Oshodi,6.5783,3.3676,6.5489,3.3286,6.32,16.8,moderate,rainy,keke,15,0,1416.0
Maryland,Lekki,6.5783,3.3676,6.4474,3.5562,34.24,58.0,low,rainy,uber,19,0,8368.0
Victoria Island,Yaba,6.4281,3.4219,6.5158,3.3892,13.99,49.9,heavy,cloudy,uber,21,1,7092.0
Lekki,Ajah,6.4474,3.5562,6.4683,3.6015,6.92,11.7,low,cloudy,uber,5,1,2084.0
Ojota,Ikoyi,6.582,3.388,6.4541,3.435,17.95,42.4,moderate,sunny,keke,7,1,3141.0
Ajah,Victoria Island,6.4683,3.6015,6.4281,3.4219,27.69,79.3,moderate,thunderstorm,brt,10,0,2060.0
Ojota,Ajah,6.582,3.388,6.4683,3.6015,37.21,136.6,heavy,sunny,danfo,19,0,4171.0
Surulere,Ojota,6.4969,3.355,6.582,3.388,12.68,22.2,low,cloudy,danfo,7,0,1152.0
Yaba,Ajah,6.5158,3.3892,6.4683,3.6015,28.79,78.9,moderate,rainy,uber,5,0,8521.0
Victoria Island,Ajah,6.4281,3.4219,6.4683,3.6015,24.14,77.1,heavy,sunny,bolt,6,0,9861.0
Ikeja,Ajah,6.6018,3.3515,6.4683,3.6015,36.87,94.3,moderate,sunny,keke,19,1,5904.0
Surulere,Ajah,6.4969,3.355,6.4683,3.6015,39.35,74.3,low,rainy,brt,15,1,2597.0
Lekki,Maryland,6.4474,3.5562,6.5783,3.3676,36.07,101.5,moderate,sunny,bolt,7,1,11497.0
CMS (Marina),Surulere,6.4549,3.3886,6.4969,3.355,8.39,15.7,low,sunny,keke,14,1,1186.0
Oshodi,CMS (Marina),6.5489,3.3286,6.4549,3.3886,16.0,28.6,low,cloudy,uber,4,1,4490.0
Yaba,Murtala Muhammed Airport,6.5158,3.3892,6.5774,3.3212,13.8,46.3,heavy,rainy,keke,18,1,3669.0
Berger,Yaba,6.642,3.343,6.5158,3.3892,21.64,52.9,moderate,rainy,brt,8,1,1829.0
Ojota,Surulere,6.582,3.388,6.4969,3.355,12.29,23.0,low,sunny,taxi,13,0,2550.0
Yaba,Ikeja,6.5158,3.3892,6.6018,3.3515,13.62,41.0,heavy,cloudy,keke,7,0,3083.0
Ajah,Oshodi,6.4683,3.6015,6.5489,3.3286,37.33,136.6,heavy,sunny,uber,10,0,12827.0
Murtala Muhammed Airport,Victoria Island,6.5774,3.3212,6.4281,3.4219,27.39,94.1,heavy,cloudy,bolt,14,1,10206.0
Lekki,CMS (Marina),6.4474,3.5562,6.4549,3.3886,26.45,44.8,low,cloudy,bolt,8,0,6969.0
Oshodi,Victoria Island,6.5489,3.3286,6.4281,3.4219,21.85,43.8,low,rainy,uber,18,1,6831.0
Ikeja,Maryland,6.6018,3.3515,6.5783,3.3676,3.83,7.7,low,rainy,keke,7,0,816.0
Ajah,Victoria Island,6.4683,3.6015,6.4281,3.4219,27.88,94.9,heavy,rainy,keke,2,0,6221.0
Ajah,Murtala Muhammed Airport,6.4683,3.6015,6.5774,3.3212,42.8,104.4,moderate,sunny,keke,14,1,6716.0
Oshodi,Yaba,6.5489,3.3286,6.5158,3.3892,9.76,23.7,moderate,cloudy,taxi,18,1,3347.0
Lekki,Victoria Island,6.4474,3.5562,6.4281,3.4219,18.46,58.7,heavy,sunny,taxi,7,0,6667.0
Ojota,Ikoyi,6.582,3.388,6.4541,3.435,19.77,74.9,heavy,sunny,brt,10,0,1510.0
Berger,CMS (Marina),6.642,3.343,6.4549,3.3886,25.61,59.3,moderate,sunny,brt,19,0,1550.0
Ojota,Berger,6.582,3.388,6.642,3.343,11.17,20.6,low,sunny,keke,17,1,1704.0
Ojota,Maryland,6.582,3.388,6.5783,3.3676,2.96,4.6,low,sunny,brt,18,1,284.0
Ikoyi,Oshodi,6.4541,3.435,6.5489,3.3286,18.2,34.7,low,cloudy,brt,15,0,1078.0
Yaba,Lekki,6.5158,3.3892,6.4474,3.5562,26.53,69.0,moderate,cloudy,taxi,6,0,7633.0
Ikoyi,Ajah,6.4541,3.435,6.4683,3.6015,25.63,56.8,moderate,cloudy,taxi,3,1,7145.0
Lekki,Ojota,6.4474,3.5562,6.582,3.388,29.2,79.7,moderate,rainy,bolt,12,1,9430.0
Ajah,CMS (Marina),6.4683,3.6015,6.4549,3.3886,31.47,70.1,moderate,sunny,keke,12,0,4542.0
Ikoyi,Berger,6.4541,3.435,6.642,3.343,32.11,79.9,moderate,cloudy,taxi,11,0,7749.0
Ikoyi,Yaba,6.4541,3.435,6.5158,3.3892,11.17,62.8,gridlock,sunny,danfo,17,0,2294.0
Murtala Muhammed Airport,Oshodi,6.5774,3.3212,6.5489,3.3286,4.23,10.7,moderate,cloudy,brt,8,0,419.0
Oshodi,Ajah,6.5489,3.3286,6.4683,3.6015,39.05,108.2,moderate,sunny,uber,18,0,13555.0
Berger,Yaba,6.642,3.343,6.5158,3.3892,17.65,61.9,heavy,rainy,bolt,21,1,8071.0
CMS (Marina),Ajah,6.4549,3.3886,6.4683,3.6015,27.52,74.6,moderate,sunny,taxi,9,1,7089.0
Ajah,Oshodi,6.4683,3.6015,6.5489,3.3286,40.12,232.5,gridlock,cloudy,brt,12,1,4866.0
Ikeja,Surulere,6.6018,3.3515,6.4969,3.355,14.5,39.7,moderate,sunny,bolt,18,1,5536.0
Ikeja,Murtala Muhammed Airport,6.6018,3.3515,6.5774,3.3212,5.5,20.5,heavy,sunny,keke,23,0,1356.0
Ajah,Ikoyi,6.4683,3.6015,6.4541,3.435,25.47,97.2,heavy,rainy,danfo,14,1,3417.0
Ikoyi,Victoria Island,6.4541,3.435,6.4281,3.4219,4.55,10.1,moderate,sunny,keke,18,0,965.0
Victoria Island,Ikeja,6.4281,3.4219,6.6018,3.3515,28.63,63.0,moderate,thunderstorm,taxi,0,1,9858.0
Surulere,Ajah,6.4969,3.355,6.4683,3.6015,37.6,60.2,low,rainy,brt,19,0,2057.0
Murtala Muhammed Airport,Surulere,6.5774,3.3212,6.4969,3.355,11.39,32.0,moderate,sunny,taxi,15,0,3941.0
Victoria Island,Maryland,6.4281,3.4219,6.5783,3.3676,24.62,85.3,heavy,cloudy,keke,13,0,4822.0
Oshodi,CMS (Marina),6.5489,3.3286,6.4549,3.3886,16.06,57.5,heavy,cloudy,danfo,3,0,1871.0
Ojota,Lekki,6.582,3.388,6.4474,3.5562,30.42,102.7,heavy,sunny,danfo,15,0,4171.0
Ojota,Ajah,6.582,3.388,6.4683,3.6015,31.55,117.4,heavy,thunderstorm,brt,16,1,3863.0
Maryland,Ikoyi,6.5783,3.3676,6.4541,3.435,19.89,51.6,moderate,cloudy,keke,13,1,3096.0
Ikoyi,Ajah,6.4541,3.435,6.4683,3.6015,21.57,152.0,gridlock,rainy,bolt,7,1,16811.0
Oshodi,Victoria Island,6.5489,3.3286,6.4281,3.4219,24.54,79.1,heavy,thunderstorm,uber,8,0,12710.0
Ikoyi,Murtala Muhammed Airport,6.4541,3.435,6.5774,3.3212,22.78,84.0,heavy,sunny,danfo,23,0,2851.0
Berger,CMS (Marina),6.642,3.343,6.4549,3.3886,28.26,76.8,moderate,sunny,danfo,7,0,3009.0
Yaba,Oshodi,6.5158,3.3892,6.5489,3.3286,10.51,23.6,moderate,sunny,keke,14,0,1654.0
